,author,statement,source,date,target
117,Luiz Romero,"Photos show “Ukrainian Christians pray outdoors, in the snow, for their country in this phase of war danger.”",Facebook posts,"February 25, 2022",half-true
118,Warren Fiske,"Virginia is ""one of only a handful of states that actually taxes our veterans’ retirement.”",Glenn Youngkin,"February 23, 2022",half-true
119,Vanessa Swales,Says he led the fight to add 200 new police officers to make the City of Milwaukee safer.,Cavalier Johnson,"February 23, 2022",half-true
120,D.L. Davis,"""48-Hour waiting periods limit crimes of passion and keep our communities safe.”",Shelia Stubbs,"February 18, 2022",half-true
121,Paul Specht,Republican state Sens. Paul Newton and Warren Daniel “refused to even give testimony” in North Carolina’s latest redistricting case.,North Carolina state House Democratic Caucus,"February 17, 2022",half-true
122,Andy Nguyen,"A molecule found in a Himalayan fungus ""kills cancer cells with 40 times potency.""",Facebook posts,"February 15, 2022",half-true
123,Amy Sherman,"""One in 13 Black Americans are deprived of the right to vote.""",Gary Chambers Jr.,"February 15, 2022",half-true
124,Tom Kertscher,"“Greg Casar passed paid sick leave.""",Greg Casar,"February 10, 2022",half-true
125,Tom Kertscher,"Eric Schmitt “sponsored a bill to spend $480 million of your tax dollars” on cargo hub for airlines ""owned by China's Communist Party” and ""voted to let China buy up Missouri farmland.""",Team PAC,"February 9, 2022",half-true
126,Madison Czopek,Binding masks to your face with gauze and wrapping pantyhose around your face and mask are now “suggestions to make your mask more ‘effective.’”,Facebook posts,"February 7, 2022",half-true
127,D.L. Davis,"“In 2021, 65 people in Milwaukee have lost their lives due to reckless driving accidents, and more than 9,000 cars have been stolen, double the amount in 2020.”",Cavalier Johnson,"February 4, 2022",half-true
128,Amy Sherman,"“In Texas, because of the laws they passed, a 95-year-old World War II veteran is being denied the right to vote by mail because he can't produce a registration number he got back in the 1950s.”",Stacey Abrams,"February 3, 2022",half-true
129,Tom Kertscher,"Joe Biden's “$4 trillion” Build Back Better bill is ""the largest expansion of welfare programs in 60 years.""",Carla Sands,"February 1, 2022",half-true
130,Sara Swann,"“Joe Biden holds the all-time record for the most money received from Pharma while in Congress! $8,550,422.”",Viral image,"January 28, 2022",half-true
131,Paul Specht,"“From 1917 to 1994, half of the bills that were successfully filibustered in the Senate were civil rights legislation.”",Alma Adams,"January 24, 2022",half-true
132,Warren Fiske,Virginia’s “education standards for math and reading are now the lowest in the nation.”,Glenn Youngkin,"January 21, 2022",half-true
133,Monique Curet,“India has nearly 1.4 billion citizens. Nearly 800 million of them live in extreme poverty — less than $1.90 per day. Yet EVERY singly (sic) Indian citizen is required to have a valid form of ID to vote in national elections.”,Facebook posts,"January 19, 2022",half-true
134,Madison Czopek,“Fully vaccinated Australians in hospital for COVID-19 surpass unvaccinated”,Bloggers,"January 14, 2022",half-true
135,Amy Sherman,"“In the 2020 election, President Trump voted from behind the desk in the White House in Florida.”",Joe Biden,"January 13, 2022",half-true
136,Warren Fiske,"“When I became mayor of the City of Richmond in 2004, the crime rate was at its highest. When I left in 2008, it was at its lowest.”",Doug Wilder,"January 10, 2022",half-true
137,Paul Specht,"“Corporate profit margins are at their highest point in 70 years. … They’re overcharging us for gas, medicine, and groceries, and pocketing the difference.”",Erica Smith,"January 7, 2022",half-true
138,Jeff Cercone,“Most Americans on minimum wage earn less than a Dickensian allegory for destitution.”,Facebook posts,"January 3, 2022",half-true
139,Madeline Heim,"The push for high-speed internet for rural areas, from the start, “was a Democratic thing.”",Jon Erpenbach,"December 28, 2021",half-true
140,Louis Jacobson,"“More people, aged 18-45, died of Fentanyl overdoses in 2020 than covid, car accidents, cancer, + suicide combined.”",Facebook posts,"December 23, 2021",half-true
141,Lyle Muller,Chuck Grassley was “voting to slash Medicare” when voting against the debt ceiling bill.,Abby Finkenauer,"December 16, 2021",half-true
142,Laura Schulte,"Says Joe Biden “shut down travel from 8 countries in response to the Omicron variant, but he refuses to require a #COVID19 test for illegal immigrants crossing our Southern border.”",Glenn Grothman,"December 14, 2021",half-true
143,Duncan Slade,"The United States had 589 coal-fired plants 10 years ago, and “we're down to 504. … We are the only nation that has reduced our reliance (on) coal energy.""",Joe Manchin,"December 10, 2021",half-true
144,Jon Greenberg,The Build Back Better Act “includes $34.5 billion in cuts” for charity care funding to hospitals.,Rick Scott,"December 10, 2021",half-true
145,Julie Appleby,"""An independent analysis shows that payments for cancer care will be slashed by close to 45% causing cancer clinics to close and massively raising your healthcare costs.”",Community Oncology Alliance,"December 7, 2021",half-true
146,Becca Schimmel,A chart shows China and India are leading in per capita carbon dioxide emissions.,Facebook posts,"December 2, 2021",half-true
147,Jon Greenberg,“39 out of 42 (countries) in Europe have more restrictive abortion laws” than Mississippi.,Tate Reeves,"December 1, 2021",half-true
148,Nusaiba Mizan,"""U.S. households are on track to spend $19 billion more on energy by 2030.""",Roger Williams,"November 30, 2021",half-true
149,Vivian Lam,"""Spike protein goes to nucleus and impairs DNA repair.""",Bloggers,"November 23, 2021",half-true
150,Lauren White,"Ashley Hinson’s and Mariannette Miller-Meeks’ no votes on the infrastructure bill are ""denying rural Iowa broadband internet.""",Dave Loebsack,"November 22, 2021",half-true
151,Tom Kertscher,"Timothy Simpkins, a Black teen shooter, got 1 day in jail and $75,000 bail, while Kyle Rittenhouse, a white teen, got 2 months in jail and $2 million bail. “I think it’s pretty evident ... that white privilege is a myth.”",Viral image,"November 17, 2021",half-true
152,Nusaiba Mizan,"Over a million people apprehended at the border this year, ""meaning probably another 2 or 3 million have come in illegally.""",Dan Patrick,"November 15, 2021",half-true
153,Laura Schulte,"Says President Joe Biden “is in talks to pay illegal immigrants $450,000.”",Bryan Steil,"November 12, 2021",half-true
154,Louis Jacobson,"The Biden administration inherited gains of “50,000 jobs a month. We're now finally back to 500,000 jobs a month. We inherited a country where 4,000 people a day were dying from Covid. That's now down 75%.”",Ron Klain,"November 10, 2021",half-true
155,Jeff Cercone,"""Atheists are prohibited from holding office in 8 states.”",Facebook posts,"November 8, 2021",half-true
156,Ciara O'Rourke,Photos show Manila Bay before and during Rodrigo Duterte’s administration.,Viral image,"October 28, 2021",half-true
157,Louis Jacobson,"“The nation reported adding 194,000 jobs in September, and Florida accounted for 84,500.”",Ron DeSantis,"October 27, 2021",half-true
158,Gabrielle Settles,"“Gas prices were WAY higher in 2008, under REPUBLICAN president George W. Bush.”",Facebook posts,"October 25, 2021",half-true
159,Louis Jacobson,“We’ve created more jobs in the first eight months of my administration than any president in American history — total number of jobs created.”,Joe Biden,"October 22, 2021",half-true
160,Warren Fiske,“Virginia has the lowest standards for math and reading of all 50 states.”,Glenn Youngkin,"October 20, 2021",half-true
161,Tom Kertscher,"COVID-19 “surges among most vaxxed communities, says Harvard study.”",YouTube videos,"October 19, 2021",half-true
162,Louis Jacobson,"People who are vaccinated for the coronavirus “cannot spread it to you.""",Joe Biden,"October 14, 2021",half-true
163,Madison Czopek,“Roe was the end of women dying from abortions.”,Viral image,"October 13, 2021",half-true
164,Gabrielle Settles,“Paris police beat a woman for shopping at a mall with no vaccine passport.”,TikTok posts,"October 12, 2021",half-true
165,Amy Sherman,“Raising the debt limit is usually a bipartisan undertaking.”,Joe Biden,"October 6, 2021",half-true
166,Elisa Contreras,"“We became a net exporter of natural gas in 2017, and until recently, our exports have exceeded our imports.”",Carol Miller,"October 5, 2021",half-true
167,Louis Jacobson,"""The pharmaceutical industry has 1,400 lobbyists on Capitol Hill right now trying to stop"" Medicare drug price negotiation.",Bernie Sanders,"October 5, 2021",half-true
168,Laura Schulte,Says the U.S. National Archives put a ‘harmful content’ warning on our nation’s Founding documents.,Glenn Grothman,"September 30, 2021",half-true
169,Tom Kertscher,“The NAACP wants” the Confederate Memorial Carving “sandblasted off Stone Mountain.”,Viral image,"September 27, 2021",half-true
170,Tom Kertscher,"Says Joe Biden said: “If Haiti just quietly sunk into the Caribbean, or rose up 300 feet, it wouldn’t matter a whole lot in terms of our interests.”",Instagram posts,"September 24, 2021",half-true
171,Jon Greenberg,"“As a result of the massive decline in natural gas prices, we’re saving 11,000 lives per year in the U.S.”",Gary Palmer,"September 23, 2021",half-true
172,Warren Fiske,“Time and again Glenn Youngkin has made it clear: He would ban abortion as governor.”,Terry McAuliffe,"September 23, 2021",half-true
173,Duncan Slade,"“West Virginia University just came out with a study that showed that there will be almost 20,000 jobs created in clean energy in West Virginia if (President Joe Biden’s) agenda is passed.”",Jennifer Granholm,"September 21, 2021",half-true
174,Laura Schulte,“President Biden has created more jobs in his first 7 months than any POTUS in history.”,Gwen Moore,"September 21, 2021",half-true
175,Zach DeLuca,The United States spent “2 trillion dollars to train and equip the Afghan military over the past 20 years. They fell in a week.”,Richard Ojeda,"September 21, 2021",half-true
176,Paul Specht,"Says U.S. left 33 Black Hawks to the Taliban, which has more than “85%” of all countries.",Richard Hudson,"September 19, 2021",half-true
177,Ciara O'Rourke,Says a new Apple update will “scan U.S iPhones for images.”,Viral image,"September 16, 2021",half-true
178,Lauren White,“It is a result of the $300 per month that working parents are now receiving for their young children that we have reduced childhood poverty in the United States by 50%.”,Bernie Sanders,"September 15, 2021",half-true
179,Tom Kertscher,"“Polling center tells some Republicans they ‘already voted’"" in the California recall election.",Breitbart,"September 14, 2021",half-true
180,Sasha Hupka,"“California is moving folks out of encampments, into safe housing and getting them the mental health services they need.”",Gavin Newsom,"September 11, 2021",half-true
181,Jon Greenberg,“The frequency of hurricanes making landfall in the continental U.S. has declined slightly since 1900...There aren’t more powerful hurricanes either.”,Bjorn Lomborg,"September 9, 2021",half-true
182,Louis Jacobson,"Texas “ranks 50th in baby wellness checks, ranks 50th in clinical care for infants, ranks 50th in uninsured women, ranks 43rd in maternal mortality, ranks 44th in school funding per child, and ranks 46th in child hunger.”",Occupy Democrats,"September 7, 2021",half-true
183,Duncan Slade,"“Near Morgantown, WV, a Moderna shipment truck crashed, hazmat dispatched, airspace shut down and now apparently Emergency Response is claiming the Department of Defense took it over.”",Tweets,"September 2, 2021",half-true
184,Tom Kertscher,“New Israeli study finds fully vaccinated people are at ‘greater risk of hospitalization’ and 13 times more likely to catch COVID-19 than those who have recovered and have natural immunity.”,The Gateway Pundit,"September 1, 2021",half-true
185,Miriam Valverde,There has been “no question of our credibility from our allies around the world” regarding how the U.S. is withdrawing from Afghanistan.,Joe Biden,"August 26, 2021",half-true
186,Emily Tian,“Washington public school forces unvaccinated teens to wear ankle monitors” as a condition of playing team sports.,Facebook posts,"August 25, 2021",half-true
187,Jason Asenso,"""Twitter has suspended the account of Afghanistan’s elected President… and have allowed the Taliban to keep their accounts.""",Instagram posts,"August 23, 2021",half-true
188,Louis Jacobson,"The U.S. is “now importing 800,000 barrels of oil from Russia,” but that could have been prevented if the Keystone XL pipeline hadn’t been cancelled.",Facebook posts,"August 23, 2021",half-true
189,Jon Greenberg,"“We had already issued several thousand Special Immigrant Visas .. to the (Afghan) translators, when I came into office.”",Joe Biden,"August 19, 2021",half-true
190,Jason Asenso,"Solar panel farms cause “hundreds and thousands” of birds to “hit that magnified sun, explode in flame ... (This) is going to bring the nation down.”",Louie Gohmert,"August 17, 2021",half-true
