,author,statements,source,date,target,BinaryTarget,BinaryNumTarget
19,Gabrielle Settles,Black Americans are not descended from people who were taken from Africa to be enslaved.,Facebook posts,"31, 2023 2023",pants-fire,FALSE,0
20,Ciara O'Rourke,"President Joe Biden said, “To the Ukrainian people, I say to them all, you might you might they they might be able to make right and they’re not able to.”",Viral image,"30, 2023 2023",false,FALSE,0
21,Ciara O'Rourke,This photo shows former President Donald Trump “last week.”,Viral image,"30, 2023 2023",false,FALSE,0
22,Tom Kertscher,“NASA stopped exploring the ocean.”,Instagram posts,"30, 2023 2023",pants-fire,FALSE,0
23,Samantha Putterman,The United States of America “no longer exists” because President Joe Biden “signed away our sovereignty as a nation.”,Facebook posts,"30, 2023 2023",pants-fire,FALSE,0
24,Jeff Cercone,The amount the U.S. has spent in Ukraine is “double the U.S. expenditure for its own war in Afghanistan.”,Instagram posts,"27, 2023 2023",false,FALSE,0
25,Ciara O'Rourke,A photo shows “Barack Obama dressed up as Baphomet (Lucifer).”,Viral image,"27, 2023 2023",pants-fire,FALSE,0
26,Ciara O'Rourke,President Joe Biden signed an executive order “making health insurance free for qualifying Americans.”,Facebook posts,"27, 2023 2023",false,FALSE,0
27,Ciara O'Rourke,“Scientists warn eggs are causing thousands of people to ‘suddenly’ form blood clots.”,Viral image,"27, 2023 2023",false,FALSE,0
28,Ciara O'Rourke,Hospital photo of Damar Hamlin proves “he’s a corpse.”,Facebook posts,"27, 2023 2023",pants-fire,FALSE,0
29,Madison Czopek,“The average American has anywhere from 5 to 15 pounds” of stool stuck in their gut.,Facebook posts,"27, 2023 2023",false,FALSE,0
30,Madison Czopek,“The World Health Organization has been working since 1974 on vaccines to create permanent sterility.”,Instagram posts,"27, 2023 2023",false,FALSE,0
31,Ciara O'Rourke,Video shows hecklers shouting profanities at President Joe Biden.,Viral image,"26, 2023 2023",false,FALSE,0
32,Ciara O'Rourke,“Aretha Franklin’s 1968 song ‘A Natural Woman’ deemed ‘offensive’ by trans community.”,Facebook posts,"26, 2023 2023",false,FALSE,0
33,Ciara O'Rourke,Video shows Rep. Alexandria Ocasio-Cortez crying after “Ted Cruz gets up and humiliates her to her face.”,Facebook posts,"26, 2023 2023",false,FALSE,0
34,Samantha Putterman,The sinking of the Titanic was orchestrated by the Rothschilds and J.P. Morgan to kill prominent businessmen who opposed the creation of the Federal Reserve.,Instagram posts,"26, 2023 2023",pants-fire,FALSE,0
35,Jeff Cercone,"In California, there were “10 million mail ballots unaccounted for” in the November midterm election.",Public Interest Legal Foundation,"26, 2023 2023",false,FALSE,0
36,Tom Kertscher,"People not vaccinated against COVID-19 “came out the best.""",Scott Adams,"26, 2023 2023",false,FALSE,0
37,Loreben Tuquero,Electrically charged stones discovered in Congo.,Instagram posts,"26, 2023 2023",false,FALSE,0
38,Jeff Cercone,"Sen. Josh Hawley told professor, “I will not use your pronouns.”",Facebook posts,"26, 2023 2023",pants-fire,FALSE,0
39,Ciara O'Rourke,“Andrew Tate officially gets sentenced to 15 years in prison! (Found guilty).”,Facebook posts,"25, 2023 2023",false,FALSE,0
40,Ciara O'Rourke,“Putin destroys adrenochrome lab in Ukraine.”,Bloggers,"25, 2023 2023",pants-fire,FALSE,0
41,Samantha Putterman,“Chickens aren’t laying eggs because RNA is being added to commercial chicken feed.”,TikTok posts,"25, 2023 2023",false,FALSE,0
42,Ciara O'Rourke,Polio wasn’t eradicated in the United States by a vaccine.,Instagram posts,"25, 2023 2023",false,FALSE,0
43,Ciara O'Rourke,Christine Grady “is the head of NIH.”,Instagram posts,"25, 2023 2023",false,FALSE,0
44,Sara Swann,The U.S. chicken and egg shortage is linked to Bill Gates.,Instagram posts,"25, 2023 2023",false,FALSE,0
45,Ciara O'Rourke,Sudden arrhythmic death syndrome and “stroke season” didn’t exist before the COVID-19 pandemic.,Instagram posts,"24, 2023 2023",false,FALSE,0
46,Ciara O'Rourke,Actor Isaac Kappy was murdered for exposing Hollywood pedophiles.,Facebook posts,"24, 2023 2023",pants-fire,FALSE,0
47,Tom Kertscher,"""New government-funded 'food pyramid' says Lucky Charms are healthier than steak.""",Instagram posts,"24, 2023 2023",barely-true,FALSE,0
48,Ciara O'Rourke,“NOAA makes it official… CO2 warming is a hoax.”,Viral image,"24, 2023 2023",false,FALSE,0
49,Ciara O'Rourke,Historic photos are evidence these celebrities were cloned.,Viral image,"24, 2023 2023",false,FALSE,0
50,Ciara O'Rourke,Damar Hamlin wasn’t at the Buffalo Bills' playoff game.,TikTok posts,"23, 2023 2023",pants-fire,FALSE,0
51,Ciara O'Rourke,Video proves Greta Thunberg is a crisis actor.,Instagram posts,"23, 2023 2023",false,FALSE,0
52,Andy Nguyen,"""Climate change is a naturally occurring phenomenon that can be tracked throughout prehistoric eras.""",Instagram posts,"23, 2023 2023",false,FALSE,0
53,Ciara O'Rourke,A video shows wreckage of the recent plane crash in Nepal.,Facebook posts,"23, 2023 2023",false,FALSE,0
54,Jeff Cercone,"""New York is bombed. At this moment, there are many injured.”",Instagram posts,"23, 2023 2023",pants-fire,FALSE,0
55,Tom Kertscher,“MRNA vaccines are being injected into our food supply.”,Facebook posts,"23, 2023 2023",false,FALSE,0
56,Samantha Putterman,Bill Gates tweeted that “vaccines in our food supply solves the problem of vaccine hesitancy.”,Instagram posts,"20, 2023 2023",pants-fire,FALSE,0
57,Ciara O'Rourke,The Federal Aviation Administration widened its electrocardiogram parameters for pilots because “a substantial number of airline pilots have had serious heart damage” from COVID-19 vaccines.,Instagram posts,"20, 2023 2023",false,FALSE,0
58,Jeff Cercone,Video shows hidden theater “where elites sacrifice kids.”,Instagram posts,"20, 2023 2023",pants-fire,FALSE,0
59,Samantha Putterman,Harvard Medical School students “learn how to care for LGBTQIA+ infants.”,TikTok posts,"20, 2023 2023",false,FALSE,0
60,Ciara O'Rourke,A video shows a real angel in the sky in Palestine.,Viral image,"20, 2023 2023",false,FALSE,0
61,Ciara O'Rourke,A video shows the deadly Jan. 15 plane crash in Nepal.,Facebook posts,"20, 2023 2023",false,FALSE,0
62,Ciara O'Rourke,CNN reported that Damar Hamlin’s doctor confirmed his cardiac arrest was caused by a COVID-19 vaccine booster.,Viral image,"19, 2023 2023",false,FALSE,0
63,Samantha Putterman,"Document shows that Hunter Biden paid Joe Biden $50,000 a month in rent.",Facebook posts,"19, 2023 2023",false,FALSE,0
64,Ciara O'Rourke,Greta Thunberg staged an arrest in Germany.,Viral image,"19, 2023 2023",false,FALSE,0
65,Gabrielle Settles,Joan Rivers was killed for revealing that Barack Obama is gay and Michelle Obama is transgender.,Instagram posts,"19, 2023 2023",pants-fire,FALSE,0
66,Loreben Tuquero,"Joe Biden as vice president didn't ""have the right to declassify"" documents.",Donald Trump,"19, 2023 2023",false,FALSE,0
67,Samantha Putterman,"“More contraception availability increases abortion demand.""",Instagram posts,"18, 2023 2023",false,FALSE,0
68,Ciara O'Rourke,Walmart is giving some women $500 grocery store credit as part of a discrimination settlement.,Facebook posts,"18, 2023 2023",false,FALSE,0
69,Ciara O'Rourke,"The World Economic Forum hired “unvaccinated pilots” to fly people into Davos, Switzerland, for its annual meeting for safety reasons.",Bloggers,"18, 2023 2023",false,FALSE,0
70,Tom Kertscher,"""Social Security has nothing to do with the deficit or the national debt.""",Occupy Democrats,"18, 2023 2023",barely-true,FALSE,0
71,Madison Czopek,"“Americans who worked through the pandemic are being paid up to $26,000 by qualifying for the Employee Retention Credit.”",Facebook posts,"17, 2023 2023",false,FALSE,0
72,Sara Swann,“Every single Republican blocked Ketanji Brown Jackson’s SCOTUS appointment.”,Facebook posts,"17, 2023 2023",false,FALSE,0
73,Ciara O'Rourke,Video shows Elon Musk talking about what “every failed leader” he met had in common.,Viral image,"17, 2023 2023",false,FALSE,0
74,Madison Czopek,“All ‘gender affirming care’ for children is 100% experimental. There are zero long term studies on the effects the drugs and surgeries will have on them.”,Instagram posts,"17, 2023 2023",barely-true,FALSE,0
75,Gabrielle Settles,"Magic Johnson tested positive for HIV ""because Fauci’s gain of function study used a contaminated Hepatitis B vaccine.""",Instagram posts,"13, 2023 2023",pants-fire,FALSE,0
76,Sara Swann,The cost of eggs has gone up 700%.,Facebook posts,"13, 2023 2023",barely-true,FALSE,0
77,Ciara O'Rourke,Video shows John F. Kennedy Jr. at Donald Trump’s presidential inauguration.,Viral image,"12, 2023 2023",pants-fire,FALSE,0
78,Ciara O'Rourke,Video shows Hillary Clinton being arrested.,Viral image,"12, 2023 2023",pants-fire,FALSE,0
79,Gabrielle Settles,“Lula's staff infiltrated and caused damage while the Brazilian Patriots cleaned up.”,Instagram posts,"12, 2023 2023",pants-fire,FALSE,0
80,Ciara O'Rourke,Coronavirus is a Latin word for “heart attack virus.”,Viral image,"12, 2023 2023",false,FALSE,0
81,Tom Kertscher,Cellphone data used to arrest the Idaho quadruple-murder suspect proves that criticism of the “2000 Mules” movie’s use of cell data is unfounded.,John Rich,"12, 2023 2023",false,FALSE,0
82,Ciara O'Rourke,MMA fighter Victoria Lee died because of a COVID-19 vaccine.,Facebook posts,"11, 2023 2023",false,FALSE,0
83,Tom Kertscher,"COVID-19 vaccines ""provide zero benefit relative to risk for the young and healthy.""",Robert Malone,"10, 2023 2023",false,FALSE,0
84,Andy Nguyen,"Tom Hanks shouting ""sexy baby"" is connected to Jeffery Epstein and pedophilia.",Instagram posts,"9, 2023 2023",pants-fire,FALSE,0
85,Jill Terreri,"A $5,000 stimulus loan is available.",Facebook posts,"January 6, 6,",false,FALSE,0
86,Gabrielle Settles,“Ray Epps confessed to Jan. 6 Committee he ‘orchestrated’ attack on Capitol”,Instagram posts,"6, 2023 2023",barely-true,FALSE,0
87,Gabrielle Settles,"Tee Higgins ""isn't even leaving the hospital till he knows (Damar) Hamlin is OK.""",Facebook posts,"6, 2023 2023",false,FALSE,0
88,Samantha Putterman,"""Pope Benedict XVI and the Vatican requested that President Biden not attend Benedict’s funeral.""",Newsmax,"6, 2023 2023",false,FALSE,0
89,Samantha Putterman,"There have been “1,598 athlete cardiac arrests since Jan 2021. 69% fatal.""",Liz Wheeler,"5, 2023 2023",false,FALSE,0
90,Madison Czopek,Buffalo Bills player Damar Hamlin’s collapse was caused by the COVID-19 vaccine.,Instagram posts,"4, 2023 2023",false,FALSE,0
91,Ciara O'Rourke,Tesla launched a cryptocurrency platform that “aims to help families become wealthier.”,Bloggers,"20, 2022 2022",false,FALSE,0
92,Ciara O'Rourke,A video shows Rep. Matt Gaetz threatening Robert Mueller with jail time.,Facebook posts,"20, 2022 2022",false,FALSE,0
93,Ciara O'Rourke,"Elon Musk said, “I predict that I will buy tomorrow the entire Meta company.”",Instagram posts,"20, 2022 2022",false,FALSE,0
94,Ciara O'Rourke,People who stole U.S. Postal Service uniforms are posing as postal workers and robbing people at gunpoint.,Facebook posts,"20, 2022 2022",false,FALSE,0
95,Jeff Cercone,“The FDA finally came out and said that Pfizer’s COVID shot causes blood clots.”,Instagram posts,"20, 2022 2022",false,FALSE,0
96,Ciara O'Rourke,“The Simpsons predicted Pizzagate.”,Viral image,"20, 2022 2022",pants-fire,FALSE,0
97,Ciara O'Rourke,A video shows Jim Jordan saying the 2020 “election was stolen.”,Facebook posts,"20, 2022 2022",false,FALSE,0
98,Ciara O'Rourke,A video shows migrants faking tears for news cameras.,Facebook posts,"20, 2022 2022",false,FALSE,0
99,Ciara O'Rourke,"Elon Musk said, “In some parts of the world, journalists get murdered for crossing the wrong people.”",Viral image,"20, 2022 2022",false,FALSE,0
100,Ciara O'Rourke,Russia’s Army was “destroyed.”,Facebook posts,"19, 2022 2022",false,FALSE,0
101,Ciara O'Rourke,Cellphones can be used to pop popcorn kernels.,Facebook posts,"19, 2022 2022",false,FALSE,0
102,Ciara O'Rourke,A video shows Nancy Pelosi unveiling a portrait of former U.S. Energy Department employee.,Viral image,"19, 2022 2022",false,FALSE,0
103,Ciara O'Rourke,A video shows lawmakers in compromising positions with children.,Viral image,"16, 2022 2022",pants-fire,FALSE,0
104,Andy Nguyen,A “well-crafted garlic salve” can “heal any ailment of the lungs and respiratory system.”,Instagram posts,"16, 2022 2022",false,FALSE,0
105,Ciara O'Rourke,A video shows Rep. Jim Jordan threatening House Speaker Nancy Pelosi with “‘possible’ jail time.”,Facebook posts,"16, 2022 2022",pants-fire,FALSE,0
106,Ciara O'Rourke,"Says U.S. Rep. Katie Porter, D-Calif., “says pedophilia isn’t a crime — it’s an identity.”",Viral image,"16, 2022 2022",pants-fire,FALSE,0
107,Jeff Cercone,"Human traffickers are putting toxin-laced tissues on gas pumps and door handles, then waiting for potential victims to pass out.",Instagram posts,"16, 2022 2022",false,FALSE,0
108,Jeff Cercone,"There are a record high cases of flu in the U.S. this year, and “last year there were none.”",Instagram posts,"15, 2022 2022",false,FALSE,0
109,Ciara O'Rourke,Stephen Boss died because of the COVID-19 vaccine.,Tweets,"15, 2022 2022",false,FALSE,0
110,Gabrielle Settles,"Video shows Sen. John Kennedy telling Secretary of Homeland Security Alejandro Mayorkas, “You will be impeached.”",Facebook posts,"15, 2022 2022",false,FALSE,0
111,Ciara O'Rourke,"Video shows Attorney General Merrick Garland saying, “Wait for revenge.”",Facebook posts,"15, 2022 2022",pants-fire,FALSE,0
112,Amy Sherman,Kari Lake’s lawsuit “exposes Arizona used no signature verification.”,Facebook posts,"15, 2022 2022",false,FALSE,0
113,Kristin Hugo,"England’s Oxfordshire County Council has passed a trial ""climate lockdown,"" “confining residents to their own neighbourhoods.”",Facebook posts,"15, 2022 2022",false,FALSE,0
114,Ciara O'Rourke,Pfizer confirmed stiff-person syndrome is an adverse effect of the COVID-19 vaccine.,Instagram posts,"15, 2022 2022",false,FALSE,0
115,Ciara O'Rourke,Grant Wahl died because of the COVID-19 vaccine.,Facebook posts,"14, 2022 2022",false,FALSE,0
116,Gabrielle Settles,The Federal Reserve “has suspended the availability of new currency.”,Facebook posts,"14, 2022 2022",false,FALSE,0
117,Andy Nguyen,"Large machinery is “required to move 500,000 pounds of earth in order to get the minerals needed for one single Tesla car battery.”",Instagram posts,"13, 2022 2022",false,FALSE,0
118,Ciara O'Rourke,The war in Ukraine is “all over.”,Facebook posts,"13, 2022 2022",false,FALSE,0
119,Ciara O'Rourke,This video shows Chuck Grassley demanding Joe Biden’s “resignation.”,Facebook posts,"13, 2022 2022",false,FALSE,0
120,Ciara O'Rourke,Early vote counts after the polls closed in Georgia’s U.S. Senate runoff are evidence of election fraud.,Instagram posts,"13, 2022 2022",pants-fire,FALSE,0
121,Jeff Cercone,Recent blood clots or strokes in four major athletes are an unwanted effect of COVID-19 vaccines.,Facebook posts,"13, 2022 2022",false,FALSE,0
122,Madison Czopek,The Human Meat Project is using donated bodies and organs to create “alternative meat consumption options.”,Facebook posts,"12, 2022 2022",false,FALSE,0
123,Ciara O'Rourke,“JAG charges Nancy Pelosi with treason and seditious conspiracy.”,Viral image,"12, 2022 2022",pants-fire,FALSE,0
124,Ciara O'Rourke,"Pfizer CEO Albert Bourla resigned, saying mRNA vaccines are “not safe.”",Viral image,"12, 2022 2022",false,FALSE,0
125,Ciara O'Rourke,Katie Hobbs signing Arizona’s election certification was “unconstitutional.”,Viral image,"9, 2022 2022",false,FALSE,0
126,Ciara O'Rourke,"Elon Musk tweeted, “The Democrats paid the CEO Jack Dorsey of Twitter millions of dollars to block and delete people’s pages during the 2020 election.”",Viral image,"9, 2022 2022",false,FALSE,0
127,Andy Nguyen,"“Since the COVID jabs were rolled out, at least 1.1 million Americans have 'died suddenly.'”",Instagram posts,"9, 2022 2022",false,FALSE,0
128,Ciara O'Rourke,Fluctuating vote count in Fox News coverage of the Georgia U.S. Senate runoff is evidence of voter fraud.,Viral image,"9, 2022 2022",false,FALSE,0
129,Ciara O'Rourke,Rod Stewart’s son “was rushed to the hospital … with a suspected heart attack” because of a COVID-19 vaccine.,Instagram posts,"9, 2022 2022",pants-fire,FALSE,0
130,Ciara O'Rourke,Video shows a child telling Jill Biden to “shut up” during a speech.,Instagram posts,"9, 2022 2022",false,FALSE,0
131,Ciara O'Rourke,Video shows former President Donald Trump saying he “just can’t be upset” with Kanye West.,Viral image,"9, 2022 2022",false,FALSE,0
132,Ciara O'Rourke,Fluctuating Georgia U.S. Senate runoff vote count is evidence of election fraud.,Viral image,"9, 2022 2022",false,FALSE,0
133,Ciara O'Rourke,“Holiday heart syndrome” is a cover for deaths caused by the COVID-19 vaccine.,Viral image,"9, 2022 2022",false,FALSE,0
134,Ciara O'Rourke,Drone footage confirms Jeffrey Epstein is alive.,Instagram posts,"8, 2022 2022",pants-fire,FALSE,0
135,Jeff Cercone,Paul Pelosi hasn’t been seen in public for months because he had mpox.,Instagram posts,"8, 2022 2022",pants-fire,FALSE,0
136,Ciara O'Rourke,News clip showing Herschel Walker with early lead in Georgia U.S. Senate runoff is evidence of fraud.,Viral image,"8, 2022 2022",pants-fire,FALSE,0
137,Ciara O'Rourke,Marjorie Taylor Greene quoted Adolf Hitler on Christianity.,Viral image,"8, 2022 2022",false,FALSE,0
138,Jeff Cercone,"Canada is ""allowing children to seek out medically assisted death.”",Instagram posts,"7, 2022 2022",false,FALSE,0
139,Ciara O'Rourke,“‘Child trafficking camp’ discovered in Arizona.”,Viral image,"7, 2022 2022",pants-fire,FALSE,0
140,Ciara O'Rourke,Kirstie Alley faked her death.,Instagram posts,"7, 2022 2022",pants-fire,FALSE,0
141,Ciara O'Rourke,A photo shows a CIA agent impersonating Adolf Hitler.,Viral image,"7, 2022 2022",false,FALSE,0
142,Ciara O'Rourke,"President Joe Biden’s daughter-in-law tweeted, “The press is also covering up serious health issues that my father in law is facing. The plan is for Kamala to get a one track ride to the nomination in 2024.”",Viral image,"6, 2022 2022",pants-fire,FALSE,0
143,Gabrielle Settles,Says Hitler said Black people are the “true Hebrews.”,Instagram posts,"6, 2022 2022",false,FALSE,0
144,Kristin Hugo,"""Climate activists vow to slaughter millions of dogs to ‘reduce carbon pawprint.’”",Instagram posts,"6, 2022 2022",pants-fire,FALSE,0
145,Ciara O'Rourke,Photo shows Rep. Adam Schiff and a “little boy he killed.”,Viral image,"6, 2022 2022",pants-fire,FALSE,0
146,Jeff Cercone,Henry Kissinger’s “deathbed confession” shows “Adolf Hitler was buried in Spain” and lived to age 68.,Instagram posts,"6, 2022 2022",pants-fire,FALSE,0
147,Gabrielle Settles,The 2021 infrastructure bill requires all new vehicles to have kill switches that will stop vehicle operation and alert law enforcement when drivers are impaired.,Instagram posts,"5, 2022 2022",barely-true,FALSE,0
148,Andy Nguyen,“They removed your ability to go buy firearms the day of election.”,Instagram posts,"2, 2022 2022",false,FALSE,0
149,Jeff Cercone,"“There may be a new pandemic on the way after the release of a 50,000-year-old zombie virus.”",Instagram posts,"2, 2022 2022",false,FALSE,0
150,Jeff Cercone,Arizona midterm election was unlawful because the lab used to certify voting machines was not accredited.,Instagram posts,"2, 2022 2022",false,FALSE,0
151,Ciara O'Rourke,Rod Rosenstein and John Podesta are the sons of Nazi leaders.,Instagram posts,"1, 2022 2022",pants-fire,FALSE,0
152,Ciara O'Rourke,Video confirms Pfizer’s CEO is “reptilian.”,Viral image,"1, 2022 2022",pants-fire,FALSE,0
153,Ciara O'Rourke,Country singer Jake Flint died because of the COVID-19 vaccine.,Instagram posts,"30, 2022 2022",false,FALSE,0
154,Sara Swann,Suggests virologist’s death is linked to COVID-19 vaccines.,Instagram posts,"30, 2022 2022",false,FALSE,0
155,Jill Terreri,No NASA Challenger rocket blew up with people on it.,Instagram posts,"November 30, 30,",pants-fire,FALSE,0
156,Ciara O'Rourke,“Disney pushes ‘We love Satan’ in new family Christmas movie.”,Viral image,"30, 2022 2022",false,FALSE,0
157,Ciara O'Rourke,Elon Musk said he’s buying Snapchat.,Viral image,"30, 2022 2022",false,FALSE,0
158,Madison Czopek,"“Maricopa County announced that on Election Day over 540,000 voters visited one of the 223” vote centers, but final official results data claimed that “only 248,070 people voted.”",Instagram posts,"30, 2022 2022",false,FALSE,0
159,Ciara O'Rourke,“Saudi team gets $460K Rolls-Royces for upset win.”,Viral image,"29, 2022 2022",false,FALSE,0
160,Andy Nguyen,Climate change is “dictated by solar activity and the moon” and has “nothing to do with mankind.”,Instagram posts,"29, 2022 2022",false,FALSE,0
161,Ciara O'Rourke,"Qatar refused “to receive the German national team’s plane, which bears the gay logo, which forced them to return the plane to the airport of the Sultanate of Oman.”",Instagram posts,"29, 2022 2022",false,FALSE,0
162,Jeff Cercone,"Images of a woman having bloody makeup applied show ""fake combatant photos” in Ukraine.",Instagram posts,"28, 2022 2022",false,FALSE,0
163,Yacob Reyes,"Suggests ""108 FIFA registered players/coaches have died"" because of COVID-19 vaccines.",Instagram posts,"22, 2022 2022",false,FALSE,0
164,Andy Nguyen,“Joe Biden is being investigated for human trafficking and is guilty.”,Instagram posts,"22, 2022 2022",false,FALSE,0
165,Andy Nguyen,John Kerry at COP27 climate summit spoke about wanting to “wipe out the middle class … get you under the central banking digital currency system.”,Instagram posts,"22, 2022 2022",false,FALSE,0
166,Andy Nguyen,The Club Q shooting was a “false flag.”,Tweets,"22, 2022 2022",pants-fire,FALSE,0
167,Gabrielle Settles,Trump tweeted about his return to Twitter on Nov. 19.,Instagram posts,"21, 2022 2022",pants-fire,FALSE,0
168,Ciara O'Rourke,Video shows Arizona ballots “break chain of custody in Arizona.”,Instagram posts,"21, 2022 2022",false,FALSE,0
169,Ciara O'Rourke,The Arizona gubernatorial race was a “fraudulent election.”,Instagram posts,"21, 2022 2022",pants-fire,FALSE,0
170,Ciara O'Rourke,“Bill Gates tells G20 world leaders that ‘death panels’ will soon be required.”,Viral image,"21, 2022 2022",pants-fire,FALSE,0
171,Ciara O'Rourke,Sunny Hostin of “The View” admitted to voter fraud.,Viral image,"21, 2022 2022",false,FALSE,0
172,Ciara O'Rourke,"Ballots recovered from a Santa Clara County, California, ravine are evidence of “how the left cheats to win.”",Viral image,"18, 2022 2022",false,FALSE,0
173,Ciara O'Rourke,A fake Nancy Pelosi said she won’t seek the speaker position again because the real Pelosi was arrested in 2021.,Instagram posts,"18, 2022 2022",pants-fire,FALSE,0
174,Ciara O'Rourke,The World Health Organization director general confirmed “some countries are using boosters to kill children.”,Viral image,"18, 2022 2022",false,FALSE,0
175,Ciara O'Rourke,The number of followers Katie Hobbs and Kari Lake have on Instagram suggests election fraud.,Viral image,"18, 2022 2022",pants-fire,FALSE,0
176,Gabrielle Settles,Video is evidence of a recent increase in robberies in Spain by “migrants from the Middle East and Africa.”,Instagram posts,"18, 2022 2022",false,FALSE,0
177,Ciara O'Rourke,Photo shows “ballots not counted in California and this is only one polling location. Yet Gavin Newsom was declared governor minutes after polling stations closed.”,Viral image,"17, 2022 2022",barely-true,FALSE,0
178,Amy Sherman,Bags arriving at the Maricopa County vote counting site are evidence of “Democrats with the help of the media and GOP establishment stealing another election.”,Instagram posts,"17, 2022 2022",pants-fire,FALSE,0
179,Madison Czopek,"President Joe Biden said, “I know you all know there’s no climate problem,” proving that people have been “lying for decades” about climate change.",Instagram posts,"17, 2022 2022",false,FALSE,0
180,Ciara O'Rourke,“European royals killing naked children for fun at hunting parties.”,Viral image,"17, 2022 2022",pants-fire,FALSE,0
181,Ciara O'Rourke,Photo shows Jeff Bezos’s clone.,Viral image,"17, 2022 2022",pants-fire,FALSE,0
182,Ciara O'Rourke,“Biden ‘child porn’ shock” headline was “front page news in Australia.”,Viral image,"17, 2022 2022",false,FALSE,0
183,Ciara O'Rourke,“Florida man arrested for using a lost U.S. nuke to power his home for more than 27 years.”,Viral image,"16, 2022 2022",pants-fire,FALSE,0
184,Madison Czopek,It’s proof of “voter fraud” that it takes some states days to count 2 million votes while Florida results were available on election night.,Instagram posts,"16, 2022 2022",false,FALSE,0
185,Jeff Cercone,A livestream failing in Nevada is “one of the ways blue states steal elections.”,Instagram posts,"16, 2022 2022",false,FALSE,0
186,Ciara O'Rourke,Footage shows Dallas pollbooks fraudulently “adding hundreds of voters in real time as the poll was being closed.”,Instagram posts,"16, 2022 2022",false,FALSE,0
187,Ciara O'Rourke,“The CEO of FTX is the daughter of the chairman of the SEC.”,Viral image,"16, 2022 2022",false,FALSE,0
188,Gabrielle Settles,"Dr. Anthony Fauci, Ron DeSantis and others “are ALL in a diamond mining business in Oklahoma together!”",Instagram posts,"16, 2022 2022",pants-fire,FALSE,0
189,Ciara O'Rourke,Split election results show the Arizona governor’s race was rigged.,Instagram posts,"16, 2022 2022",pants-fire,FALSE,0
190,Jeff Cercone,U.S. tax dollars sent to help Ukraine were laundered back by cryptocurrency firm FTX to help Democrats in midterms.,Instagram posts,"15, 2022 2022",false,FALSE,0
191,Maria Ramirez,"“Iran sentences 15,000 protesters to death.”",Instagram posts,"November 15, 15,",false,FALSE,0
192,Ciara O'Rourke,Amazon’s Alexa confirms Michelle Obama “was born Michael LaVaughn Robinson.”,Viral image,"15, 2022 2022",pants-fire,FALSE,0
193,Ciara O'Rourke,"No, the Pennsylvania Senate race wasn’t ‘rigged’",Viral image,"15, 2022 2022",pants-fire,FALSE,0
