,author,statement,source,date,target
15,Laura Schulte,"“A lot of the programs (that were) started during the pandemic are still going, even though the pandemic is long over.”",Robin Vos,"December 1, 2022",barely-true
16,Ciara O'Rourke,Photo shows “ballots not counted in California and this is only one polling location. Yet Gavin Newsom was declared governor minutes after polling stations closed.”,Viral image,"November 17, 2022",barely-true
17,Tom Kertscher,"Raphael Warnock ""believes in no cash bail"" and ""letting people out of prison that are going to make us prisoners in our own home.""",Herschel Walker,"November 17, 2022",barely-true
18,Gabrielle Settles,California’s Proposition 1 includes “a right to abortion up-to-birth.”,Instagram posts,"November 7, 2022",barely-true
19,Louis Jacobson,The U.S. “could easily count every vote in every state on election night until a few years ago.”,Instagram posts,"November 4, 2022",barely-true
20,Sydney Carruth,“We have seen over the last 10 years ... under Republican governors a rise in the murder rate in Arizona of 20%.”,Kris Mayes,"November 2, 2022",barely-true
21,Lawrence Andrea,“We finally achieved that energy independence… under the Trump administration. President Biden squandered (it) away.”,Ron Johnson,"November 1, 2022",barely-true
22,Paul Specht,"Cheri Beasley “backs tax hikes — even on families making under $75,000.”",Senate Leadership Fund,"October 31, 2022",barely-true
23,Ben Wells,"Says Gov. Tony Evers would, “allow the government to use red flag laws to confiscate your firearms without due process.”",National Rifle Association,"October 31, 2022",barely-true
24,Yacob Reyes,"""Crime is up under Governor DeSantis. Crime was down when I was your governor.""",Charlie Crist,"October 28, 2022",barely-true
25,Louis Jacobson,Only Democratic cities take “‘days’ to count their votes” while “the rest of the country manages to get it done on election night.”,Ted Cruz,"October 28, 2022",barely-true
26,Jon Greenberg,Blake Masters “wants to privatize” Social Security.,Mark Kelly,"October 28, 2022",barely-true
27,Tom Kertscher,"Catherine Cortez Masto ""was the deciding vote” to send COVID-19 stimulus checks to more than 1 million prisoners.",Club for Growth Action,"October 27, 2022",barely-true
28,Madison Czopek,"“El CDC está a punto de agregar la vacuna Co vid al calendario de vacunación infantil, lo que haría que la vacunación sea obligatoria para que los niños asistan a la escuela”.",Instagram posts,"October 27, 2022",barely-true
29,Yacob Reyes,"Val Demings ""voted with Pelosi to raise taxes over $4,000 on Florida families.""",Marco Rubio,"October 25, 2022",barely-true
30,Jessica Riley,"“More than half of the $739 billion tax increase (in the Inflation Reduction Act) will go to wasteful Green New Deal programs like tree equity, 'clean' garbage trucks, and studying cow farts.""",Citizens Against Government Waste,"October 25, 2022",barely-true
31,Paul Specht,Ted Budd “on four separate occasions voted against funding for police here in North Carolina to the tune of more than $32 million.”,Cheri Beasley,"October 24, 2022",barely-true
32,Maria Ramirez,“Every single Senate Democrat voted against hiring more border agents. They voted against deporting felons. And they voted against ending catch and release.”,Citizens for Sanity,"• October 21,",barely-true
33,Tom Kertscher,"Mark Kelly ""voted to allow prison inmates to receive stimulus checks five separate times.""",Saving Arizona PAC,"October 20, 2022",barely-true
34,Madison Czopek,"“The CDC is about to add the COVID vaccine to the childhood immunization schedule, which would make the vax mandatory for kids to attend school.”",Tucker Carlson,"October 20, 2022",barely-true
35,Vanessa Swales,“Mandela Barnes came out in favor of abortion up until the moment of birth.”,National Republican Senatorial Committee,"October 20, 2022",barely-true
36,Haley Tenore,"Electric vehicles are unaffordable because “the average cost of replacing an electric vehicle battery is over $10,000, while the average cost of replacing the battery of a gas-powered car is $100 to $200.”",Debbie Lesko,"October 19, 2022",barely-true
37,Amy Sherman,"In Texas, a person can register a dead relative to vote and then cast a mail ballot in their name.",Facebook posts,"October 17, 2022",barely-true
38,Madeline Heim,Says “Tim Michels wants to defund public education — calling it ‘the definition of insanity’ to continue to fund public schools.”,Tony Evers,"October 17, 2022",barely-true
39,Maria Ramirez,"As attorney general, Catherine Cortez Masto “opposed tougher laws on methamphetamine dealers.”",Club for Growth,"• October 14,",barely-true
40,Michael Majchrowicz,A study showed mRNA COVID-19 vaccines are harmful to infants who are breastfeeding.,Instagram posts,"October 12, 2022",barely-true
41,Jon Greenberg,“Katie Hobbs voted for allowing a baby who survives an abortion — that the hospital would refuse medical care and allow the baby to die on a cold metal tray.”,Kari Lake,"October 12, 2022",barely-true
42,Vanessa Swales,Says Tony Evers is “a career politician.”,Tim Michels,"October 7, 2022",barely-true
43,Gabrielle Settles,"""$12 billion more for Ukraine on top of $100+ billion while Jackson, Mississippi has yet to receive any funding to fix their water infrastructure.""",Instagram posts,"October 6, 2022",barely-true
44,Michael Majchrowicz,Pennsylvania Senate candidate John Fetterman’s tattoo references ‘heroin use’ and the Crips,Newt Gingrich,"October 5, 2022",barely-true
45,Yacob Reyes,"Lee County, Florida, wasn't ""even in the cone"" of Hurricane Ian 72 hours before landfall.",Ron DeSantis,"October 4, 2022",barely-true
46,Louis Jacobson,"Raphael Warnock ""called police thugs, then cut their funding.""",Herschel Walker,"September 30, 2022",barely-true
47,Madison Czopek,Michigan’s Proposal 2 “will permanently put in the Constitution that you never have to show an ID to vote ever again.”,Ted Nugent,"September 30, 2022",barely-true
48,Madison Czopek,"""Only 325,000 American kids out of 19,000,000"" were vaccinated against COVID-19.",Instagram posts,"September 27, 2022",barely-true
49,Maria Ramirez,Adam Laxalt took “campaign cash” from drug companies “and used his office to block local attempts at holding one of the worst offenders accountable.”,Catherine Cortez Masto,"• September 23,",barely-true
50,Gabrielle Settles,“Lifeguard/football player Joe Biden got five draft deferments for asthma during Vietnam.”,Facebook posts,"September 21, 2022",barely-true
51,Andy Nguyen,The World Economic Forum has called for the end of “wasteful private car ownership.”,Facebook posts,"September 21, 2022",barely-true
52,Nusaiba Mizan,Three court rulings since May 2022 “have made it clear that it is unconstitutional to ban someone between the ages of 18 and 20 from being able to buy an AR.”,Greg Abbott,"September 21, 2022",barely-true
53,Rachel Bluth,"“With Proposition 1, the number of abortion seekers from other states will soar even higher, costing taxpayers millions more.”","California Together, No On Proposition 1","September 21, 2022",barely-true
54,Madeline Heim,"Says Tim Michels' family foundation ""funded an organization that tracks women when they get near abortion clinics … he wants to treat women like they're the criminals.""",Liberal Groups,"September 20, 2022",barely-true
55,Todd Spangler,"""90% of (state Sen. Tom Barrett's) donors are from special interests""",House Majority PAC,"September 20, 2022",barely-true
56,Renee Romo,"Under Kathy Hoffman, “student test scores plummeted. Even before COVID, under the current regime, over half of Arizona students were not proficient in reading or math.”",Tom Horne,"September 19, 2022",barely-true
57,Yacob Reyes,Image shows a Rebekah Jones campaign event.,Matt Gaetz,"September 19, 2022",barely-true
58,Louis Jacobson,“Incomes are up.”,Joe Biden,"September 16, 2022",barely-true
59,Jon Greenberg,"“Mark Kelly voted against the Keystone pipeline, which caused higher gas prices.”",Saving Arizona PAC,"September 16, 2022",barely-true
60,Yacob Reyes,"""Val Demings supports abortion up until the moment of birth.""",Marco Rubio,"September 16, 2022",barely-true
61,D.L. Davis,"""Democrats' radical green energy policies caused record gas prices. """,Ron Johnson,"September 16, 2022",barely-true
62,Laura Schulte,“Ron Johnson just came out in favor of a federal abortion ban.”,Mandela Barnes,"September 13, 2022",barely-true
63,Nusaiba Mizan,"""FEC charges (Beto O'Rourke's 2018 campaign) Illegal Campaign Contributions.""",Facebook posts,"September 8, 2022",barely-true
64,Michael Majchrowicz,"“With the combined salary of the 87,000 new IRS Agents ($81,456 average annual salary), you could put a police officer ($55,117) in every public school in the nation (97,568) and still have 31,007 police officers or $1,709,012,819 left over.”",Facebook posts,"September 8, 2022",barely-true
65,Louis Jacobson,“Tim Ryan called police the new Jim Crow.”,J.D. Vance,"September 8, 2022",barely-true
66,Andy Nguyen,There’s an unlimited supply of water being generated “deep within the Earth.”,Instagram posts,"September 7, 2022",barely-true
67,Yacob Reyes,"Gov. Ron DeSantis raised ""taxes on the middle class by more than $1.5 billion while giving away $624 million to big corporations.""",Charlie Crist,"September 2, 2022",barely-true
68,Amy Sherman,"“60% of Alaska voters voted for a Republican, but thanks to a convoluted process and ballot exhaustion — which disenfranchises voters — a Democrat ‘won.’""",Tom Cotton,"September 2, 2022",barely-true
69,Madeline Heim,Says “Tim Michels doesn’t think gay people should be out in public.”,Democratic Party of Wisconsin,"September 2, 2022",barely-true
70,Tom Kertscher,Three churches were targeted during arson attacks over the summer “because they protect unborn babies and women in need.”,CatholicVote,"September 1, 2022",barely-true
71,Jill Terreri,"In New York, you need to show identification to buy whipped cream, but not to vote.",Social Media,"• September 1,",barely-true
72,Tom Kertscher,"Joe Biden's student debt forgiveness plan is a ""bailout for rich kids.""",American Action Network,"August 31, 2022",barely-true
73,Lyle Muller,“$1.5 billion of your taxpayer money is sitting in an account” that can be used for other purposes.,Deidre DeJear,"August 29, 2022",barely-true
74,Vanessa Swales,Says Democratic Senate candidate Mandela Barnes “supports abolishing ICE.”,National Republican Senatorial Committee,"August 29, 2022",barely-true
75,Louis Jacobson,The American Rescue Plan “helped create nearly 10 million new jobs.”,Joe Biden,"August 24, 2022",barely-true
76,Warren Fiske,"A new Democratic law “will make the IRS workforce larger than the Pentagon, FBI, State Department, and Customs and Border Patrol, combined.”",Ben Cline,"August 24, 2022",barely-true
77,Tom Kertscher,"The Inflation Reduction Act ""doubles the size of the IRS, raises your taxes and spends billions on a green energy slush fund.""",Tom Cotton,"August 23, 2022",barely-true
78,Jeff Cercone,"""The IRS is about to double in size, with 87,000 new armed agents and an additional $80 billion in order to primarily enhance IRS enforcement and operations.”",Facebook posts,"August 18, 2022",barely-true
79,Maria Ramirez,"The IRS is adding 87,000 new agents, making the IRS “larger than (the) Pentagon, Federal Bureau of Investigation, Customs and Border Protection and the State Department combined.”",Rick Scott,"• August 17,",barely-true
80,Warren Fiske,"“Democrats are voting to add an army of 87,000 IRS agents who will target middle class taxpayers and conduct at least 1 million more audits each year. ”",Bob Good,"August 17, 2022",barely-true
81,Alan Hovorka,"""Governor Tony Evers gave counties the green light to defund Wisconsin's police departments.""",Republican Governors Association,"August 12, 2022",barely-true
82,Jon Greenberg,"“Democrats' new army of 87,000 IRS agents will be coming for you — with 710,000 new audits for Americans who earn less than $75k.”",Kevin McCarthy,"August 11, 2022",barely-true
83,Yacob Reyes,"""They are literally chopping off the private parts of young kids.""",Ron DeSantis,"August 10, 2022",barely-true
84,Madeline Heim,“Tim Michels pushed for years to raise (Wisconsin’s) gas tax.”,Rebecca Kleefisch,"August 5, 2022",barely-true
85,Tom Kertscher,"John Fetterman wants to “eliminate life sentences for murderers.""",Mehmet Oz,"August 3, 2022",barely-true
86,D.L. Davis,"""There is absolutely no reason why Wisconsin should be facing a worker shortage to the level we are when there are 123,000 more able-bodied childless adults on BadgerCare since the pandemic.""",Rebecca Kleefisch,"August 2, 2022",barely-true
87,Jon Greenberg,Sen. Mark Kelly “voted to legalize abortion up until the moment of birth.”,Blake Masters,"August 1, 2022",barely-true
88,Nina Baker,The Democrats’ Women’s Health Protection Act of 2022 “would permit abortion up until delivery.”,Mariannette Miller-Meeks,"August 1, 2022",barely-true
89,Madeline Heim,“The legislature has long maintained that the law never allowed these illegal drop boxes.”,Robin Vos,"July 29, 2022",barely-true
90,Paul Specht,"""North Carolina GOP is re-introducing a bill that says life begins at conception and anyone who destroys that fertilized egg is guilty of first-degree murder.""",Qasim Rashid,"July 25, 2022",barely-true
91,Yacob Reyes,"Ron DeSantis ""opposes any background checks on guns, even for violent criminals.""",Charlie Crist,"July 22, 2022",barely-true
92,Warren Fiske,“Virginia now has the most liberal abortion laws in the world.”,Dave LaRock,"July 22, 2022",barely-true
93,Nusaiba Mizan,"""38,000 Texans had their license to carry denied, revoked, or suspended over the last five years because law enforcement deemed them too dangerous to carry a loaded gun in public. But thanks to Greg Abbott's new law, they don't need a license to carry anymore.""",Beto O'Rourke,"July 21, 2022",barely-true
94,Tom Kertscher,“John Fetterman wants to release one-third of dangerous criminals back into our communities.”,Mehmet Oz,"July 21, 2022",barely-true
95,Kelly Smits,"The cancellation of the Keystone XL pipeline by Joe Biden “killed hundreds of jobs, sent gas prices way up.”",Tim Michels,"July 21, 2022",barely-true
96,Warren Fiske,"“In Virginia, we actually do protect same-sex marriage.”",Glenn Youngkin,"July 15, 2022",barely-true
97,Andy Nguyen,"“Putin humiliatingly blows up all weapons and facilities"" on Snake Island by retreating Russian troops.",Facebook posts,"July 12, 2022",barely-true
98,Tom Kertscher,"Abortion is available at any point of pregnancy and for any reason in Alaska, Colorado, New Jersey, New Mexico, Oregon and Vermont.",Focus on the Family,"July 12, 2022",barely-true
99,Vanessa Swales,"""Milwaukee’s hotels and restaurants are already filled during the summer. The RNC convention will simply replace those who normally visit our city.""",Liberal Groups,"July 12, 2022",barely-true
100,Yacob Reyes,“Charlie Crist is pro-life.”,Nikki Fried,"July 5, 2022",barely-true
101,Ciara O'Rourke,Planned Parenthood clinics are “closing down all over the country” because Roe v. Wade was overturned.,Facebook posts,"July 5, 2022",barely-true
102,Clara Hendrickson,"“Since I took office, Michigan has added more than 25,000 auto jobs.”",Gretchen Whitmer,"July 1, 2022",barely-true
103,Grace Abels,"""The Supreme Court ruled that border agents can enter anyone’s home within a 100-mile radius of the border without a warrant for any reason and federal courts cannot do anything about it.""",Instagram posts,"June 30, 2022",barely-true
104,Samantha Putterman,Recent research suggests that 15% of abortions are the result of coercion.,Tweets,"June 24, 2022",barely-true
105,Louis Jacobson,"“When you have unemployment below 4% and inflation above 4%, recession always follows within two years.”",Lawrence Summers,"June 23, 2022",barely-true
106,Lyle Muller,"“Zach Nunn took money from Adventureland’s CEO, then sponsored legislation to loosen amusement park safety rules. A child died. Zach Nunn put his big donor first, ahead of the safety of Iowa families.”",Cindy Axne,"June 17, 2022",barely-true
107,D.L. Davis,"Republican politicians are pushing a plan ""that could raise taxes on almost one in three Wisconsinites and sunset Social Security and Medicare in five years.""",Democratic Party of Wisconsin,"June 15, 2022",barely-true
108,Jeff Cercone,Americans aren’t required to show IDs to vote.,Nikki Haley,"June 13, 2022",barely-true
109,Ciara O'Rourke,"Baby boomers didn’t have autism, seizures, allergies and other ailments when they were kids.",Facebook posts,"June 9, 2022",barely-true
110,Paul Specht,Cheri Beasley tossed the conviction of a man seeking sex with a boy online and “set free” a child porn offender.,National Republican Senatorial Committee,"June 6, 2022",barely-true
111,Analisa Trofimuk,"""We need to realize that people who think that ‘well, maybe if we could just implement tougher gun laws, it’s going to solve it,’ Chicago and LA and New York disprove that thesis.""",Greg Abbott,"June 3, 2022",barely-true
112,Maria Ramirez,Increased encounters at the southwest border in April 2022 compared to April 2020 are attributable to changes in border policy.,Mark Brnovich,"• June 2,",barely-true
113,D.L. Davis,"In the immediate wake of a fire and vandalism at the Madison headquarters of an anti-abortion group, Democrats had not condemned “activists who are engaging in this repugnant illegal activity.”",Ron Johnson,"May 31, 2022",barely-true
114,Laura Schulte,On Gov. Tony “Evers’ watch…the efficiency of the state crime lab has plummeted.”,Republican Party of Wisconsin,"May 26, 2022",barely-true
115,Sara Swann,The United States can’t import baby formula because of the U.S.-Mexico-Canada Agreement.,Facebook posts,"May 24, 2022",barely-true
116,Tom Kertscher,"""David Perdue voted with liberals” for $10 trillion “in new debt, his out-of-control federal spending is driving inflation through the roof.""",Brian Kemp,"May 19, 2022",barely-true
117,Samantha Putterman,"“79% of Planned Parenthood clinics are in minority neighborhoods. This is not by accident. That is by its founder, Margaret Sanger's, eugenicist design.""",Candace Owens,"May 18, 2022",barely-true
118,Ciara O'Rourke,Amazon will ship baby formula to U.S. addresses if you change your preferred country on its website from the U.S. to Canada.,Facebook posts,"May 17, 2022",barely-true
119,Louis Jacobson,"“When unemployment goes down, inflation goes up.”",Nancy Pelosi,"May 17, 2022",barely-true
120,Madison Czopek,"“We have 76% of Americans living paycheck to paycheck, meaning they are one paycheck away from poverty.”",Facebook posts,"May 16, 2022",barely-true
121,Ciara O'Rourke,“Finland joins NATO.”,Facebook posts,"May 16, 2022",barely-true
122,Madison Czopek,Says the Biden administration is choosing to send baby formula to the border as one of its “out-of-touch priorities.”,Greg Abbott,"May 13, 2022",barely-true
123,Alan Hovorka,"The Biden administration has been ""recklessly releasing potentially dangerous Afghans into our communities.""",Tom Tiffany,"May 13, 2022",barely-true
124,Tom Kertscher,"""Kari Lake has been appearing at rallies with neo-Nazis,"" while ""two federal juries have found"" Katie Hobbs ""guilty of racial discrimination.""",Aaron Lieberman,"May 12, 2022",barely-true
125,Tom Kertscher,Mehmet Oz is “pro-abortion.”,Dave McCormick,"May 11, 2022",barely-true
126,Sara Swann,“If you earn $100 and pay $33 income tax you’re left with $67. You then buy $67 worth of fuel and in doing so pay a 48% fuel tax (fuel tax = $32.16 + $6.70 GST). This means that the government just got $71.86 tax from your hard earned $100.”,Facebook posts,"May 6, 2022",barely-true
127,Vivian Lam,"""Pfizer tries to hide 2.4K full-time hires handling vax injuries.""",One America News,"May 5, 2022",barely-true
128,Yacob Reyes,"“The student debt that is out there, almost 60% of it is graduate school debt.”",Ron DeSantis,"May 5, 2022",barely-true
129,Paul Specht,"Former Gov. Pat McCrory appointed liberals to the North Carolina Textbook Commission, which “mandated textbooks” pushing critical race theory.",School Freedom Fund,"April 26, 2022",barely-true
130,Tom Kertscher,"""As Ohio treasurer, Josh Mandel loaned your money to Chinese business interests, and Mandel opposed a bill holding Communist China accountable when they cheated and stole American jobs.""",Mike Gibbons,"April 22, 2022",barely-true
131,Monique Curet,Fuel containing 15% ethanol will ruin a car engine.,Facebook posts,"April 18, 2022",barely-true
132,Sara Swann,“It’s been proven that sugar triggers and causes cancer. … So the best thing to do to prevent cancer is to avoid sugar.”,Facebook posts,"April 18, 2022",barely-true
133,Madeline Heim,"""Ron Johnson is trying to let insurance companies deny coverage to people with pre-existing conditions like cancer, depression, pregnancy, diabetes—or even COVID.”",Sarah Godlewski,"April 15, 2022",barely-true
134,Laura Schulte,“As your Lieutenant Governor…I cut your taxes.”,Rebecca Kleefisch,"April 13, 2022",barely-true
135,Monique Curet,"As with people vaccinated against COVID-19, “many people who were NOT vaccinated also experienced zero or mild symptoms.”",Facebook posts,"April 11, 2022",barely-true
136,Tom Kertscher,"“A secret backroom deal"" gave ""away hundreds of millions of tax dollars to a Soros-owned company.""",David Perdue,"April 8, 2022",barely-true
137,Tom Kertscher,"“Senate Republicans’ plan"" would ""end Social Security"" and ""end Medicare.""",Democratic Senatorial Campaign Committee,"April 6, 2022",barely-true
138,Louis Jacobson,"The economy was ""dead in the water when we got here. Virtually no jobs created.""",Ron Klain,"April 4, 2022",barely-true
139,Sara Swann,"“Democrat’s New Plan: Tax billionaires to lower the deficit by $1 TRILLION and fund clean energy independence. Republican’s New Plan: Raise taxes on households earning less than $50,000 by an ADDITIONAL $4,500 after CUTTING taxes for the rich.”",Facebook posts,"April 4, 2022",barely-true
140,Analisa Trofimuk,“An extra 2 whole months and 15 days. That’s how long it takes for white women to make the same amount men made in the same job last year. And it's even worse for women of color.”,Tammy Duckworth,"April 1, 2022",barely-true
141,Monique Curet,"Germany imposes a 19% tax on feminine hygiene products but a 7% tax on books, so one company is packaging tampons as books.",Facebook posts,"March 31, 2022",barely-true
142,Monique Curet,"""Alopecia isn't a medical disease; it's an aesthetic one.""",Facebook posts,"March 30, 2022",barely-true
143,Samantha Putterman,"“The Space Foundation has erased the honors previously bestowed on Yuri Gagarin, the first man to ever be in space. His name was stripped ‘in light of current events.’”",Facebook posts,"March 29, 2022",barely-true
144,Paul Specht,“Pat McCrory appointed the ‘Republican’ judge who sided with Democrats in the partisan Democrat lawsuit/power-grab over redistricting.”,Ted Budd,"March 29, 2022",barely-true
145,Elizabeth Egan,“New York state has already lost 99% of its historic freshwater wetlands.”,Sean Ryan,"March 29, 2022",barely-true
146,Sara Swann,"In 1975, then-U.S. Sen. Joe Biden opposed efforts by President Gerald Ford to aid South Vietnam and evacuate refugees.",Facebook posts,"March 29, 2022",barely-true
147,Tom Kertscher,"""David McCormick fired Pennsylvanians and bragged about shipping their jobs to Asia.""",Mehmet Oz,"March 29, 2022",barely-true
148,Laura Schulte,Gas prices are high “due to the Democrats’ war on fossil fuels.”,Ron Johnson,"March 29, 2022",barely-true
149,Yacob Reyes,“Judge Jackson doesn’t think perverts should have to register (as sex offenders). She says it ‘stigmatizes’ THEM.”,Lars Larson,"March 25, 2022",barely-true
150,Madeline Heim,"Says Gov. Tony Evers gave $2.4 million in COVID relief money to Planned Parenthood affiliates throughout Wisconsin “to bail them out and fund abortions.""",Rebecca Kleefisch,"March 25, 2022",barely-true
151,Jon Greenberg,"Judge Ketanji Brown Jackson “gave child porn offenders sentences below the guidelines and below what the prosecutors were requesting,” showing she is “soft on child pornography offenders.”",Josh Hawley,"March 24, 2022",barely-true
152,Tom Kertscher,"Mo Brooks ""voted to cut off funding to destroy ISIS terrorists in the middle of the fight.""",Alabama's Future,"March 22, 2022",barely-true
153,Amy Sherman,"At the start of the COVID-19 pandemic, Judge Ketanji Brown Jackson advocated that “each and every criminal defendant in D.C. Corrections custody should be released.”",Marsha Blackburn,"March 22, 2022",barely-true
154,D.L. Davis,"Says Ron Johnson ""is supporting the Republican plan that phases out Social Security and Medicare.""",Alex Lasry,"March 18, 2022",barely-true
155,Louis Jacobson,"“As soon as Biden took office, he eliminated all subsidies for fossil fuels.”",Bill O'Reilly,"March 17, 2022",barely-true
156,Tom Kertscher,"Joe Biden ""has been secretly flying illegal immigrants into communities across the country in the middle of the night.""",Tyler Kistner,"March 16, 2022",barely-true
157,Paul Specht,"“While Ukrainians bled and died, Congressman Budd excused their killer.”",Pat McCrory,"March 15, 2022",barely-true
158,Tom Kertscher,"""Donald Trump's appeasement of Putin wasn't just a personal act of treason, it's the Republican Party's official position.""",VoteVets,"March 10, 2022",barely-true
159,Jeff Cercone,"""There is no evidence Biden’s spending produced one job. Nonpartisan projections for job growth in 2021, not including that American Rescue Plan, showed higher job growth than Biden produced.”",Ben Shapiro,"March 9, 2022",barely-true
160,Tom Kertscher,"“As the world rallies around Ukraine, Mike Lee was one of only two senators to oppose sanctions on Putin. Then he flew to the Kremlin and discussed dropping sanctions. Lee even opposed arming Ukrainians fighting for their lives.”",Evan McMullin,"March 7, 2022",barely-true
161,Analisa Trofimuk,"""In my first year in office, Aurora homicides went down by 40%.""",Richard Irvin,"March 6, 2022",barely-true
162,Laura Schulte,Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,Ron Johnson,"March 4, 2022",barely-true
163,Jill Terreri,The IRS is taking money away from people who received unemployment benefits.,Facebook posts,"• March 3,",barely-true
164,Madison Czopek,“NEW: Biden Admin. instructs Americans to social distance and wear masks in the event of a Nuclear Fallout.”,Facebook posts,"March 3, 2022",barely-true
165,Yacob Reyes,“We have doubled our (oil) imports from Russia in the last year.”,Maria Bartiromo,"February 28, 2022",barely-true
166,Andy Nguyen,"The United States buys ""206,000 barrels of oil a day"" from Russia but ""shut down domestic oil production a year ago.""",Facebook posts,"February 28, 2022",barely-true
167,Bill McCarthy,“NATO (under direction from the United States) is violating previous agreements and expanding eastward.”,Candace Owens,"February 28, 2022",barely-true
168,Jeff Cercone,"January 2022 fentanyl seizures show ""illicit drugs are flowing into the country at an alarming rate because of Biden’s open border.”",Republican National Committee,"February 24, 2022",barely-true
169,Tom Kertscher,"“Under Greg Abbott’s leadership, Texas is putting taxpayer dollars into Chinese companies.”",Don Huffines,"February 24, 2022",barely-true
170,Ciara O'Rourke,“Only 16% Of Canadians Would SUPPORT Trudeau After Trucker Protest!”,Facebook posts,"February 23, 2022",barely-true
171,Analisa Trofimuk,"""There is absolutely no observed or clinical data that indicates any benefit whatsoever to masking K-12 students in schools.""",Blaine Wilhour,"February 20, 2022",barely-true
172,Yacob Reyes,"Says the Biden administration’s Unaccompanied Alien Children process has “no vetting, no transparency.”",Ron DeSantis,"February 18, 2022",barely-true
173,Sara Swann,“The CEO of Moderna deleted his Twitter and dumped $400 million of Moderna stock. Big Pharma seems to know some bad news is coming.”,Instagram posts,"February 17, 2022",barely-true
174,Monique Curet,"Map shows states where “all of the children… are back to living mask-free, normal lives.”",Instagram posts,"February 16, 2022",barely-true
175,Amy Sherman,“Nevada ranks 50th in election integrity ratings.”,Jesse Haw,"February 14, 2022",barely-true
176,Yacob Reyes,"“New Jersey and Maryland produce more solar power than Florida, the Sunshine State!”",Charlie Crist,"February 11, 2022",barely-true
177,D.L. Davis,"""The use of ballot drop boxes and ballot harvesting is illegal.”",Kevin Nicholson,"February 11, 2022",barely-true
178,Madison Czopek,Requesting a chargeback is “a better way to get back at” GoFundMe.,Facebook posts,"February 10, 2022",barely-true
179,Louis Jacobson,The Biden administration “is spending $30 million on crack pipes.”,Sean Spicer,"February 10, 2022",barely-true
180,Jeff Cercone,"""Biden and most Democrats want to cap insulin prices at $35 per month. All 50 Republicans in the Senate are opposed to it.”",Facebook posts,"February 10, 2022",barely-true
181,Louis Jacobson,“President Trump sanctioned Russia. President Biden gave them a pipeline.”,Kayleigh McEnany,"February 9, 2022",barely-true
182,Naseem Ferdowsi,“Embalmers finding ‘strange clots’ in jabbed people”,NewsWars,"February 9, 2022",barely-true
183,Jeff Cercone,"Clips of Dr. Anthony Fauci show he “flip-flopped” on guidance for wearing masks, whether kids should be in school and whether people should change how they interact.",Ron DeSantis,"February 8, 2022",barely-true
184,Tom Kertscher,"Ron DeSantis let ""millions of COVID-19 tests expire.""",Charlie Crist,"February 4, 2022",barely-true
185,Paul Specht,“The Dems demand a photo ID to get a cheeseburger.”,Greg Murphy,"February 3, 2022",barely-true
186,Louis Jacobson,"Thanks to the American Rescue Plan’s changes to the Affordable Care Act, “four out of five consumers (are) finding quality coverage for under $10 a month.”",Joe Biden,"February 2, 2022",barely-true
187,Monique Curet,"In the U.S., myocarditis cases among ages 12 to 20 numbered four in 2019; four in 2020; and 2,236 in 2021.",Facebook posts,"January 31, 2022",barely-true
